'd938d11c,Carlos Martinez de la Casa Garcia,2019-06-17 15:47:46,Cambios PMD CORE VIII'
'4e8a67d8,Carlos Martinez de la Casa Garcia,2019-06-17 15:40:42,Cambios PMD CORE VIII'
'39baa5de,Carlos Martinez de la Casa Garcia,2019-06-17 15:07:56,Cambios PMD CORE VII + Cambios de APIFILTER'
'd86c63bf,Carlos Martinez de la Casa Garcia,2019-06-17 14:59:31,Cambios PMD CORE VII'
'9f345927,Juan Carlos Ballesteros,2019-06-17 14:04:54,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'3518f52b,Juan Carlos Ballesteros,2019-06-17 14:04:35,tramite html'
'b9fd97fa,Carlos Martinez de la Casa Garcia,2019-06-17 13:16:41,Cambios PMD CORE VI'
'6d6070e7,Juan Carlos Ballesteros,2019-06-17 13:15:48,html tramite'
'4ee0579a,Juan Carlos Ballesteros,2019-06-17 12:59:57,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'91c256f9,Juan Carlos Ballesteros,2019-06-17 12:59:47,Tramites: datos rsql'
'd7ab7cbb,Carlos Martinez de la Casa Garcia,2019-06-17 12:23:52,Cambios PMD CORE corrección al V'
'174cd0a1,Carlos Martinez de la Casa Garcia,2019-06-17 12:13:20,Cambios PMD CORE V'
'b3d9a290,Juan Carlos Ballesteros,2019-06-17 09:22:17,Test datos tramite. Ajustes modelo tramites por Oracle.'
'dc2cea2f,Juan Carlos Ballesteros,2019-06-14 14:20:05,Corrección en tests de Alojamiento. Tests basicos de tramite'
'c6f591ad,Juan Carlos Ballesteros,2019-06-14 14:11:21,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'd13d9126,Juan Carlos Ballesteros,2019-06-14 14:11:05,AJUSTES rdf EN TRAMITE'
'23cd9a6b,Carlos Martinez de la Casa Garcia,2019-06-14 14:04:38,Cambios PMD CORE IV'
'33eabbcb,Juan Carlos Ballesteros,2019-06-14 12:57:17,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'ca8a395c,Juan Carlos Ballesteros,2019-06-14 12:56:24,AJUSTES rdf EN TRAMITE'
'1e57dc59,Carlos Martinez de la Casa Garcia,2019-06-14 12:55:38,Cambios PMD CORE III'
'49741646,Juan Carlos Ballesteros,2019-06-14 12:32:29,Ajustando datos en Tramite'
'ab8ac128,Carlos Martinez de la Casa Garcia,2019-06-14 12:13:22,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'ccea28e5,Carlos Martinez de la Casa Garcia,2019-06-14 12:13:03,Cambios PMD CORE II'
'32150168,Juan Carlos Ballesteros,2019-06-14 11:52:39,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'a96668cb,Juan Carlos Ballesteros,2019-06-14 11:52:17,Subida inicial dataset tramite'
'1964e9ac,Juan Carlos Ballesteros,2019-06-14 11:51:15,Subida inicial dataset tramite'
'd2091776,Juan Carlos Ballesteros,2019-06-14 11:49:44,Subida inicial dataset tramite'
'8e418e33,Carlos Martinez de la Casa Garcia,2019-06-14 11:38:59,Cambios PMD CORE I'
'1377894a,Carlos Martinez de la Casa Garcia,2019-06-14 10:07:16,Corregimos errores en la documentación de Swagger'
'e13b8528,Carlos Martinez de la Casa Garcia,2019-06-13 16:53:36,Convertidor de String a Number'
'49192aac,Carlos Martinez de la Casa Garcia,2019-06-13 16:38:47,Cambiamos version de spring-core de 4.2.0.Release a 4.3.11.Release que es la version del CORE'
'a655c4a4,Carlos Martinez de la Casa Garcia,2019-06-13 13:51:46,Correccion de la incidencia de borrado de los properties, tambien he borrado .log'
'1ddc7aae,Carlos Martinez de la Casa Garcia,2019-06-13 13:48:52,Correccion de la incidencia de borrado de los properties, tambien he borrado .log'
'272c20be,Carlos Martinez de la Casa Garcia,2019-06-13 12:47:13,Correccion de la incidencia de borrado de los properties, tambien he borrado .log'
'4e5a8fc2,Carlos Martinez de la Casa Garcia,2019-06-13 11:47:53,Añadimos nueva documentación'
'eae75fcf,Juan Carlos Ballesteros,2019-06-12 18:22:20,Llamada a swagger implementada'
'751beaf6,Juan Carlos Ballesteros,2019-06-12 18:11:04,Ajustamos documentación swagger para que los .html se integren destro de las busquedas y fichas'
'c94c43a6,Juan Carlos Ballesteros,2019-06-12 16:48:53,X e Y obligatorios en geo'
'76eb105f,Juan Carlos Ballesteros,2019-06-12 16:37:19,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'4448dfcc,Juan Carlos Ballesteros,2019-06-12 16:37:04,Control de errores en html optimizado'
'b1de6825,Carlos Martinez de la Casa Garcia,2019-06-12 15:37:42,Desactivamos el Log de RSQL'
'ff041992,Carlos Martinez de la Casa Garcia,2019-06-12 14:32:51,Correccion'
'901ef625,Carlos Martinez de la Casa Garcia,2019-06-12 14:26:51,Correccion Distinc'
'c51e68c9,Carlos Martinez de la Casa Garcia,2019-06-12 14:05:54,Log correcto para el distinc'
'088306fb,Juan Carlos Ballesteros,2019-06-12 12:58:19,Cambios en librerias para soportar OPENJAVA 11'
'f2cd64e8,Juan Carlos Ballesteros,2019-06-12 12:57:16,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'79f41aa7,Juan Carlos Ballesteros,2019-06-12 12:57:02,Corrección tests en distinct'
'232dae0a,Carlos Martinez de la Casa Garcia,2019-06-12 11:38:55,Validacion de parametros en los servicios'
'8f038235,Juan Carlos Ballesteros,2019-06-12 09:36:42,Variable con el nombre del war en pom'
'dc978ef2,Juan Carlos Ballesteros,2019-06-11 18:33:03,Licencia provisional Added'
'16779d72,Juan Carlos Ballesteros,2019-06-11 18:28:47,Licencia provisional Added'
'd45627dd,Juan Carlos Ballesteros,2019-06-11 17:58:20,HTML en texto a mayusculas'
'218da5f3,Juan Carlos Ballesteros,2019-06-11 17:56:50,Añadido versionado a las URLs de distinct'
'92078af2,Juan Carlos Ballesteros,2019-06-11 17:52:13,Ignoramos en la documentación las URLs con V1'
'08dcf2ba,Juan Carlos Ballesteros,2019-06-11 17:20:23,X e Y documentación swagger correcta'
